"Kantons_Nr","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Nein_Stimmen_In_Prozent_Kanton","Kanton_color","Gemeinden_overall","Gemeinden_counted","Legende"
1,"Zürich","Zurich","Zurigo",63.6,36.4,100,160,158,"158/160"
2,"Bern","Berne","Berna",55.8,44.2,100,333,176,"176/333"
3,"Luzern","Lucerne","Lucerna",61.2,38.8,61.2,80,80,
4,"Uri","Uri","Uri",51.4,48.6,51.4,19,19,
5,"Schwyz","Schwyz","Svitto",45.7,54.3,45.7,30,30,
6,"Obwalden","Obwald","Obvaldo",47.4,52.6,47.4,7,7,
7,"Nidwalden","Nidwald","Nidvaldo",55.3,44.7,55.3,11,11,
8,"Glarus","Glaris","Glarona",53.6,46.4,53.6,3,3,
9,"Zug","Zoug","Zugo",60.3,39.7,60.3,11,11,
10,"Freiburg","Fribourg","Friburgo",61.3,38.7,61.3,126,126,
11,"Solothurn","Soleure","Soletta",60.1,39.9,60.1,107,107,
12,"Basel-Stadt","Bâle-Ville","Basilea Città",0,0,50,3,0,"0/3"
13,"Basel-Landschaft","Bâle-Campagne","Basilea Campagna",63.1,36.9,63.1,86,86,
14,"Schaffhausen","Schaffhouse","Sciaffusa",55.5,44.5,55.5,26,26,
15,"Appenzell Ausserrhoden","Appenzell Rhodes-Extérieures","Appenzello Esterno",51.7,48.3,51.7,20,20,
16,"Appenzell Innerrhoden","Appenzell Rhodes-Intérieures","Appenzello Interno",48.5,51.5,48.5,5,5,
17,"St. Gallen","Saint-Gall","San Gallo",54.7,45.3,54.7,75,75,
18,"Graubünden","Grisons","Grigioni",58.9,41.1,58.9,101,101,
19,"Aargau","Argovie","Argovia",59.1,40.9,59.1,198,198,
20,"Thurgau","Thurgovie","Turgovia",52,48,100,80,79,"79/80"
21,"Tessin","Tessin","Ticino",57.8,42.2,57.8,106,106,
22,"Waadt","Vaud","Vaud",68.1,31.9,68.1,300,300,
23,"Wallis","Valais","Vallese",59.5,40.5,59.5,122,122,
24,"Neuenburg","Neuchâtel","Neuchâtel",69.1,30.9,69.1,27,27,
25,"Genf","Genève","Ginevra",0,0,50,45,0,"0/45"
26,"Jura","Jura","Giura",60.7,39.3,60.7,51,51,
