"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
6601,63.8,63.8,36.2,"Aire-la-Ville GE","Aire-la-Ville (GE)","Aire-la-Ville GE",,"Les habitants d'Aire-la-Ville ont approuvé avec 63,8 pour cent des voix une révision de l'estimation fiscale des immeubles. La nouvelle loi prévoit une estimation individuelle des immeubles, mais en attendant que celle-ci soit effectuée, elle reconduit l'estimation actuelle en y ajoutant une majoration de 12%.",
6602,71,71,29,"Anières GE","Anières (GE)","Anières GE",,"Les habitants d'Anières ont approuvé avec 71 pour cent des voix une révision de l'estimation fiscale des immeubles. La nouvelle loi prévoit une estimation individuelle des immeubles, mais en attendant que celle-ci soit effectuée, elle reconduit l'estimation actuelle en y ajoutant une majoration de 12%.",
6603,43.7,43.7,56.3,"Avully GE","Avully (GE)","Avully GE",,"Les habitants d'Avully refusent avec 56,3 pour cent de non une révision de l'estimation fiscale des immeubles. La nouvelle loi prévoit une estimation individuelle des immeubles, mais en attendant que celle-ci soit effectuée, elle reconduit l'estimation actuelle en y ajoutant une majoration de 12%.",
6604,57.3,57.3,42.7,"Avusy GE","Avusy (GE)","Avusy GE",,"C'est oui à 57,3 pour cent à Avusy à une révision de l'estimation fiscale des immeubles. La nouvelle loi prévoit une estimation individuelle des immeubles, mais en attendant que celle-ci soit effectuée, elle reconduit l'estimation actuelle en y ajoutant une majoration de 12%.",
6605,55.9,55.9,44.1,"Bardonnex GE","Bardonnex (GE)","Bardonnex GE",,"Les habitants de Bardonnex acceptent avec 55,9 pour cent de oui une révision de l'estimation fiscale des immeubles. La nouvelle loi prévoit une estimation individuelle des immeubles, mais en attendant que celle-ci soit effectuée, elle reconduit l'estimation actuelle en y ajoutant une majoration de 12%.",
6606,59,59,41,"Bellevue GE","Bellevue (GE)","Bellevue GE",,"Les habitants de Bellevue acceptent avec 59 pour cent de oui une révision de l'estimation fiscale des immeubles. La nouvelle loi prévoit une estimation individuelle des immeubles, mais en attendant que celle-ci soit effectuée, elle reconduit l'estimation actuelle en y ajoutant une majoration de 12%.",
6607,56.1,56.1,43.9,"Bernex GE","Bernex (GE)","Bernex GE",,"Les habitants de Bernex acceptent avec 56,1 pour cent de oui une révision de l'estimation fiscale des immeubles. La nouvelle loi prévoit une estimation individuelle des immeubles, mais en attendant que celle-ci soit effectuée, elle reconduit l'estimation actuelle en y ajoutant une majoration de 12%.",
6608,45.4,45.4,54.6,"CarouGE","Carouge (GE)","CarouGE GE",,"Les habitants de Carouge (GE) ont refusé avec 54,6 pour cent des voix une révision de l'estimation fiscale des immeubles. La nouvelle loi prévoit une estimation individuelle des immeubles, mais en attendant que celle-ci soit effectuée, elle reconduit l'estimation actuelle en y ajoutant une majoration de 12%.",
6609,62.2,62.2,37.8,"Cartigny GE","Cartigny (GE)","Cartigny GE",,"C'est oui à 62,2 pour cent à Cartigny à une révision de l'estimation fiscale des immeubles. La nouvelle loi prévoit une estimation individuelle des immeubles, mais en attendant que celle-ci soit effectuée, elle reconduit l'estimation actuelle en y ajoutant une majoration de 12%.",
6610,61.5,61.5,38.5,"Céligny GE","Céligny (GE)","Céligny GE",,"Les habitants de Céligny ont approuvé avec 61,5 pour cent des voix une révision de l'estimation fiscale des immeubles. La nouvelle loi prévoit une estimation individuelle des immeubles, mais en attendant que celle-ci soit effectuée, elle reconduit l'estimation actuelle en y ajoutant une majoration de 12%.",
6611,49.4,49.4,50.6,"Chancy GE","Chancy (GE)","Chancy GE",,"Les habitants de Chancy ont refusé avec 50,6 pour cent des voix une révision de l'estimation fiscale des immeubles. La nouvelle loi prévoit une estimation individuelle des immeubles, mais en attendant que celle-ci soit effectuée, elle reconduit l'estimation actuelle en y ajoutant une majoration de 12%.",
6612,64.5,64.5,35.5,"Chêne-Bougeries GE","Chêne-Bougeries (GE)","Chêne-Bougeries GE",,"Les habitants de Chêne-Bougeries ont approuvé avec 64,5 pour cent des voix une révision de l'estimation fiscale des immeubles. La nouvelle loi prévoit une estimation individuelle des immeubles, mais en attendant que celle-ci soit effectuée, elle reconduit l'estimation actuelle en y ajoutant une majoration de 12%.",
6613,50.1,50.1,49.9,"Chêne-Bourg GE","Chêne-Bourg (GE)","Chêne-Bourg GE",,"Les habitants de Chêne-Bourg ont approuvé avec 50,1 pour cent des voix une révision de l'estimation fiscale des immeubles. La nouvelle loi prévoit une estimation individuelle des immeubles, mais en attendant que celle-ci soit effectuée, elle reconduit l'estimation actuelle en y ajoutant une majoration de 12%.",
6614,63.9,63.9,36.1,"Choulex GE","Choulex (GE)","Choulex GE",,"C'est oui à 63,9 pour cent à Choulex à une révision de l'estimation fiscale des immeubles. La nouvelle loi prévoit une estimation individuelle des immeubles, mais en attendant que celle-ci soit effectuée, elle reconduit l'estimation actuelle en y ajoutant une majoration de 12%.",
6615,57.2,57.2,42.8,"Collex-Bossy GE","Collex-Bossy (GE)","Collex-Bossy GE",,"C'est oui à 57,2 pour cent à Collex-Bossy à une révision de l'estimation fiscale des immeubles. La nouvelle loi prévoit une estimation individuelle des immeubles, mais en attendant que celle-ci soit effectuée, elle reconduit l'estimation actuelle en y ajoutant une majoration de 12%.",
6616,69.4,69.4,30.6,"Collonge-Bellerive GE","Collonge-Bellerive (GE)","Collonge-Bellerive GE",,"Les habitants de Collonge-Bellerive ont approuvé avec 69,4 pour cent des voix une révision de l'estimation fiscale des immeubles. La nouvelle loi prévoit une estimation individuelle des immeubles, mais en attendant que celle-ci soit effectuée, elle reconduit l'estimation actuelle en y ajoutant une majoration de 12%.",
6617,72.8,72.8,27.2,"Cologny GE","Cologny (GE)","Cologny GE",,"C'est oui à 72,8 pour cent à Cologny à une révision de l'estimation fiscale des immeubles. La nouvelle loi prévoit une estimation individuelle des immeubles, mais en attendant que celle-ci soit effectuée, elle reconduit l'estimation actuelle en y ajoutant une majoration de 12%.",
6618,54,54,46,"Confignon GE","Confignon (GE)","Confignon GE",,"Les habitants de Confignon acceptent avec 54 pour cent de oui une révision de l'estimation fiscale des immeubles. La nouvelle loi prévoit une estimation individuelle des immeubles, mais en attendant que celle-ci soit effectuée, elle reconduit l'estimation actuelle en y ajoutant une majoration de 12%.",
